"packet_number","registration_area","edrpou","public_name","adrg","service","основний_діагноз","кількість_унікальних_пацієнтів"
"3","ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","116"
"3","ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.8 - Інша стареча катаракта","13"
"3","ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.9 - Стареча катаракта, неуточнена","1"
"3","ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H26.1 - Травматична катаракта","1"
"3","ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","50"
"3","ВІННИЦЬКА","01982591","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МОГИЛІВ-ПОДІЛЬСЬКА ОКРУЖНА ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ"" МОГИЛІВ-ПОДІЛЬСЬКОЇ МІСЬКОЇ РАДИ","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","116"
"3","ВІННИЦЬКА","01982695","Комунальне некомерційне підприємство ""Хмільницька центральна лікарня"" Хмільницької міської ради","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","38"
"3","ВІННИЦЬКА","01982695","Комунальне некомерційне підприємство ""Хмільницька центральна лікарня"" Хмільницької міської ради","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","11"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16","C16 - Операції на кришталику","H11.0 - Птеригій","1"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16","C16 - Операції на кришталику","H25.0 - Початкова стареча катаракта","2"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16","C16 - Операції на кришталику","H25.1 - Стареча ядерна катаракта","92"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16","C16 - Операції на кришталику","H25.8 - Інша стареча катаракта","23"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16","C16 - Операції на кришталику","H25.9 - Стареча катаракта, неуточнена","14"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16","C16 - Операції на кришталику","H26.2 - Ускладнена катаракта","4"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16","C16 - Операції на кришталику","H40.1 - Первинна відкритокутова глаукома","2"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H25.0 - Початкова стареча катаракта","2"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H25.1 - Стареча ядерна катаракта","159"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H25.8 - Інша стареча катаракта","92"
"3","ВІННИЦЬКА","01982755","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""","C16A","C16A - Операції на кришталику. Висока складність (встановлення штучного кришталика)","H25.9 - Стареча катаракта, неуточнена","95"
